Date,Magasin,Objet,Montant,Catégorie,Remarque,,Roupie à 47
09/13/23,Agribio,Légumes bio,713.00,Alimentation,,,
09/13/23,Agribio,Conserves,200.00,Alimentation,,,
09/15/23,Impôts,septembre,564.00,Toulouse,FRANCE,,
09/15/23,Immigration,Passeport Mauricien PYK,700.00,PYK,,,
09/15/23,Patricia TSCHOPP,Yoga,400.00,LK,,,
09/15/23,Wapalapam,Restaurant,"2,170.00",Loisirs,,,
09/15/23,SuperU,Alimentation,980.10,Alimentation,,,
09/18/23,Terres Brunes,Légumes aquaponie,315.00,Alimentation,,,
09/18/23,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
09/19/23,London,Alimentation,731.13,Alimentation,,,
09/20/23,Free,Forfait mobile PYK,816.00,Communication,FRANCE,,
09/21/23,Beachcomber,Cantine Gabriel,"1,365.00",Scolarité,,,
09/21/23,Beachcomber,Cantine Thomas,"1,400.00",Scolarité,,,
09/21/23,Paul et Virginie,Nuit à l'école,200.00,Scolarité,,,
09/22/23,Terres Brunes,Légumes aquaponie,300.00,Alimentation,,,
09/22/23,SuperU,Alimentation,"6,665.76",Alimentation,Balance culinaire,,
09/22/23,Atmaram,Quincaillerie,"3,034.00",Loyer,,,
09/23/23,Ousaporn,Resto 1 mois,"5,315.00",Loisirs,,,
09/25/23,Impôts,septembre,"6,909.00",Toulouse,FRANCE,,
09/25/23,Atmaram,Quincaillerie,"1,550.00",Loyer,,,
09/25/23,London,Alimentation,"4,198.61",Alimentation,,,
09/25/23,Terres Brunes,Légumes aquaponie,395.00,Alimentation,,,
09/25/23,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
09/25/23,My.T,Consommation mobile,300.00,Communication,,,
09/25/23,Patricia TSCHOPP,Yoga,400.00,LK,,,
09/25/23,Tamarin Pharmacy,Divers,643.50,Médical,,,
09/26/23,Mam(e),Crêpes,270.00,Loisirs,,,
09/26/23,SuperU,Cigarette,"2,950.00",PYK,,,
09/26/23,Espace Maison,Divers Jardin + Maison,"1,050.89",Maison,,,
09/26/23,VAD Boutique,Pantalon,"1,450.00",LK,,,
09/27/23,Aldrex Suppliers,Divers,368.00,Maison,,,
09/27/23,La Kaz à pain,Alimentation,64.00,Alimentation,,,
09/27/23,Magasin Bio,Thé glacé,200.00,Alimentation,,,
09/28/23,Salines,Fleur de sel + sel parfumé,575.00,Alimentation,,,
09/28/23,Atmaram,Divers,470.00,Loyer,,,
09/29/23,London,2 plugs,196.00,Loyer,,,
09/29/23,London,Alimentation,"4,064.30",Alimentation,,,
,,,,,,,
,,,"205,801.37",,,,
,,,,,,,
,,Total Septembre,"127,297.41",,,,
